population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,1,0.8,16,648,36.48310145208233
40,0.2,3,0.8,18,724,47.625935798757624
40,0.2,5,0.8,16,648,36.3621486160502
40,0.4,1,0.8,17,686,35.83887471463031
40,0.4,3,0.8,20,800,35.78633435076532
40,0.4,5,0.8,12,496,33.81485947328998
40,0.6,1,0.8,16,648,30.831770085739304
40,0.6,3,0.8,16,648,35.28373668205758
40,0.6,5,0.8,15,610,34.201902362511035
40,0.8,1,0.8,19,762,40.00778791352718
40,0.8,3,0.8,14,572,35.97741623452211
40,0.8,5,0.8,20,802,38.65937226434428
60,0.2,1,0.8,16,994,35.73937822024576
60,0.2,3,0.8,14,888,33.77082756355378
60,0.2,5,0.8,24,1456,38.62575333455931
60,0.4,1,0.8,37,2228,40.710080212076484
60,0.4,3,0.8,25,1536,39.74009199160086
60,0.4,5,0.8,15,936,38.058167469450126
60,0.6,1,0.8,16,994,38.39476243594714
60,0.6,3,0.8,13,822,36.40113459741958
60,0.6,5,0.8,21,1286,40.07263342844966
60,0.8,1,0.8,19,1170,42.79243330467211
60,0.8,3,0.8,14,880,37.20297928879785
60,0.8,5,0.8,14,878,37.757313918461314
80,0.2,1,0.8,17,1398,43.07045188719862
80,0.2,3,0.8,31,2558,40.12271635029564
80,0.2,5,0.8,36,2844,46.124149042551565
80,0.4,1,0.8,19,1540,40.640075414583336
80,0.4,3,0.8,22,1762,45.751076270071145
80,0.4,5,0.8,22,1648,64.29876060247794
80,0.6,1,0.8,34,2656,61.80404621704996
80,0.6,3,0.8,29,2270,50.96339821222518
80,0.6,5,0.8,23,1866,39.40803818486655
80,0.8,1,0.8,13,1144,35.84268291927807
80,0.8,3,0.8,16,1326,39.745033060326904
80,0.8,5,0.8,13,1146,33.9575844680299
100,0.2,1,0.8,18,1904,39.08541319894865
100,0.2,3,0.8,23,2404,39.152179415992386
100,0.2,5,0.8,19,2002,37.21190198923175
100,0.4,1,0.8,16,1662,44.56402823596387
100,0.4,3,0.8,11,1204,33.94797652829136
100,0.4,5,0.8,26,2632,43.11663098458341
100,0.6,1,0.8,27,2804,39.15262508972164
100,0.6,3,0.8,21,2164,40.986985584119445
100,0.6,5,0.8,24,2362,51.23990917250246
100,0.8,1,0.8,24,2348,53.65228209264823
100,0.8,3,0.8,22,2306,39.46954320425636
100,0.8,5,0.8,16,1656,41.73894339310151
40,0.2,1,0.8,14,572,33.59406190409922
40,0.2,1,0.8,19,764,36.76421379227116
40,0.2,3,0.8,21,838,35.54135410816381
40,0.2,3,0.8,14,574,29.566367192871393
40,0.2,5,0.8,25,992,37.910459244062324
40,0.2,5,0.8,52,2016,39.85566354095738
40,0.4,1,0.8,18,724,41.254835283911774
40,0.4,1,0.8,13,534,32.28517142631416
40,0.4,3,0.8,17,686,32.677711325262635
40,0.4,3,0.8,39,1522,37.658881008605825
40,0.4,5,0.8,21,838,35.873850841840586
40,0.4,5,0.8,38,1484,39.68204008186051
40,0.6,1,0.8,16,648,37.37868776227918
40,0.6,1,0.8,15,612,36.4030557093197
40,0.6,3,0.8,20,800,36.51006023231536
40,0.6,3,0.8,19,762,38.73347796870418
40,0.6,5,0.8,48,1864,47.38867177805611
40,0.6,5,0.8,21,838,34.16646762545084
40,0.8,1,0.8,20,800,38.22977770389851
40,0.8,1,0.8,12,498,38.830480919888565
40,0.8,3,0.8,12,496,36.13841751609709
40,0.8,3,0.8,16,648,42.90844516387426
40,0.8,5,0.8,15,610,38.74310556022543
40,0.8,5,0.8,33,1296,42.260785657646665
60,0.2,1,0.8,20,1228,48.315534703169966
60,0.2,1,0.8,17,1054,40.51362358801025
60,0.2,3,0.8,29,1752,37.546345652171205
60,0.2,3,0.8,18,1120,36.98133481542297
