generation,best_fit
1,30.920597582351316
2,32.98694969831164
3,35.274590535915166
4,37.29176943677177
5,37.784457783872426
6,39.15318611969498
7,39.799672013051214
8,40.80512837623613
9,41.27635259847946
10,41.27635259847946
11,41.46304848136938
12,41.521431152543556
13,42.685839063506975
14,42.685839063506975
15,42.743005322051495
16,43.844853914224245
17,49.08151929667555
18,49.08151929667555
19,49.166800368733675
20,51.26008591817594
21,54.8641191820203
22,57.86461485627763
23,59.36481439865069
24,60.02131090639253
25,62.201370908061676
26,64.00021103947877
27,64.00021103947877
28,65.56113801207086
29,67.2941879578237
30,67.2941879578237
31,68.35442430703625
32,68.35442430703625
33,71.07400725207629
34,76.52846597510077
35,79.6735615674748
36,79.6735615674748
37,79.6735615674748
38,87.65033819776825
39,87.65033819776825
40,87.65033819776825
41,87.65033819776825
42,87.65033819776825
43,88.92186597735805
44,88.92186597735805
45,88.92186597735805
46,88.92186597735805
47,88.92186597735805
48,88.92186597735805
49,88.92186597735805
50,88.92186597735805
51,88.92186597735805
52,88.92186597735805
53,88.92186597735805
