population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.8,110,4536,91.41213243793933
40,0.2,7,0.8,83,3517,79.51370287051257
40,0.2,10,0.8,73,2932,90.49439248407066
40,0.4,5,0.8,97,4697,92.1993064426763
40,0.4,7,0.8,85,4147,90.83486552497048
40,0.4,10,0.8,108,5523,92.78783155924714
40,0.6,5,0.8,61,3382,91.18147270588035
40,0.6,7,0.8,59,3227,93.8012880053715
40,0.6,10,0.8,74,4291,83.98828253214447
40,0.8,5,0.8,67,4247,92.8764652172558
40,0.8,7,0.8,55,3518,92.09880255756889
40,0.8,10,0.8,70,4609,92.28592957648696
60,0.2,5,0.8,72,4398,87.46409020291483
60,0.2,7,0.8,90,5857,92.01826166008536
60,0.2,10,0.8,77,5077,76.34379151347201
60,0.4,5,0.8,55,3974,93.9669774154639
60,0.4,7,0.8,58,4282,93.80673695111895
60,0.4,10,0.8,47,3349,92.1555209060736
60,0.6,5,0.8,78,6619,93.9669774154639
60,0.6,7,0.8,57,4853,93.8012880053715
60,0.6,10,0.8,70,5949,93.9669774154639
60,0.8,5,0.8,43,4129,93.9669774154639
60,0.8,7,0.8,47,4608,93.9669774154639
60,0.8,10,0.8,36,3467,93.80673695111895
80,0.2,5,0.8,83,6534,93.9669774154639
80,0.2,7,0.8,42,3490,88.50056561960014
80,0.2,10,0.8,74,6299,89.37653617345549
80,0.4,5,0.8,64,6332,93.9669774154639
80,0.4,7,0.8,72,7047,93.91789248298345
80,0.4,10,0.8,49,4811,91.21096320320434
80,0.6,5,0.8,59,6595,93.9669774154639
80,0.6,7,0.8,57,6485,93.9669774154639
80,0.6,10,0.8,47,5394,93.9669774154639
80,0.8,5,0.8,79,10218,93.9669774154639
80,0.8,7,0.8,78,10388,93.9669774154639
80,0.8,10,0.8,49,6250,93.9669774154639
100,0.2,5,0.8,60,6009,91.56548768551102
100,0.2,7,0.8,58,5810,93.9669774154639
100,0.2,10,0.8,78,8310,86.49292420525164
100,0.4,5,0.8,46,5502,93.9669774154639
100,0.4,7,0.8,78,9432,93.9669774154639
100,0.4,10,0.8,55,6642,93.91789248298345
100,0.6,5,0.8,79,11575,93.9669774154639
100,0.6,7,0.8,48,6769,93.9669774154639
100,0.6,10,0.8,60,8566,93.9458775576103
100,0.8,5,0.8,45,7333,93.9458775576103
100,0.8,7,0.8,48,7732,93.9669774154639
100,0.8,10,0.8,42,6748,93.9669774154639
