population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,1,0.6,20,1077,40.29801266778413
40,0.2,1,0.6,26,1344,42.502299277733044
40,0.2,1,0.6,48,2436,43.56956514696953
40,0.2,1,0.6,84,4168,63.964606854847055
40,0.2,1,0.6,33,1701,42.29642889785381
40,0.2,1,0.6,50,2148,76.73304064586947
40,0.2,1,0.6,93,4304,75.86142044160235
40,0.2,1,0.6,19,996,40.42875722147877
40,0.2,1,0.6,69,3144,74.35792030989326
40,0.2,1,0.6,97,4376,73.09330610594837
40,0.2,3,0.6,61,4666,77.384881100709
40,0.2,3,0.6,69,5377,81.24935669844253
40,0.2,3,0.6,117,9368,86.23225710079721
40,0.2,3,0.6,32,2600,62.392758597641986
40,0.2,3,0.6,56,4657,46.94478036966143
40,0.2,3,0.6,25,2028,52.50735240143356
40,0.2,3,0.6,124,9183,89.45837437852364
40,0.2,3,0.6,95,7210,82.89801050421386
40,0.2,3,0.6,16,1362,40.78628933281685
40,0.2,3,0.6,92,7130,79.7233433872823
40,0.2,5,0.6,105,11465,82.9048994253052
40,0.2,5,0.6,55,6137,73.27784354612014
40,0.2,5,0.6,101,10687,85.05761225766356
40,0.2,5,0.6,65,7150,68.4883680902431
40,0.2,5,0.6,160,17691,77.36235736200989
40,0.2,5,0.6,95,10205,93.9669774154639
40,0.2,5,0.6,126,14253,52.8045741954977
40,0.2,5,0.6,119,12624,93.82927307999837
40,0.2,5,0.6,42,4851,42.58976769292068
40,0.2,5,0.6,68,7526,65.6281313871659
40,0.4,1,0.6,74,3589,93.9669774154639
40,0.4,1,0.6,83,4206,91.86073234238813
40,0.4,1,0.6,74,3643,92.4441118792588
40,0.4,1,0.6,76,3991,76.24647643582577
40,0.4,1,0.6,45,2668,45.838336925305214
40,0.4,1,0.6,72,3467,93.83466872084178
40,0.4,1,0.6,67,3517,76.22987778779058
40,0.4,1,0.6,53,2696,86.19048491853296
40,0.4,1,0.6,85,4400,91.42843321479516
40,0.4,1,0.6,62,3427,69.68415578177006
40,0.4,3,0.6,58,4858,84.41583132145632
40,0.4,3,0.6,60,5064,80.1707160449418
40,0.4,3,0.6,64,5375,78.32210532134741
40,0.4,3,0.6,37,3317,51.05125369681107
40,0.4,3,0.6,68,5751,93.93899234083703
40,0.4,3,0.6,85,6965,92.35888059572062
40,0.4,3,0.6,84,7228,75.83745151019171
40,0.4,3,0.6,20,1765,60.31224890107819
40,0.4,3,0.6,58,5262,46.83781002061786
40,0.4,3,0.6,40,3567,64.01171754810282
40,0.4,5,0.6,142,16591,93.9669774154639
40,0.4,5,0.6,114,13683,73.04213744355768
40,0.4,5,0.6,70,8094,92.62979151393799
40,0.4,5,0.6,79,9057,91.51252632136726
40,0.4,5,0.6,54,6070,91.03395596733283
