population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.6,17,5328,52.55549965969975
40,0.2,5,0.6,67,20548,83.99725245499732
40,0.2,5,0.6,108,33322,88.76980248814205
40,0.2,5,0.6,80,24446,86.15217762544256
40,0.2,5,0.6,76,23050,89.14567230111308
40,0.2,5,0.6,81,24460,90.0038771937536
40,0.2,5,0.6,96,29742,75.67839482138923
40,0.2,5,0.6,83,25158,91.88055732461983
40,0.2,5,0.6,59,18546,49.40659028160894
40,0.2,5,0.6,60,18311,89.67990514874843
40,0.2,7,0.6,110,45965,90.33068125567428
40,0.2,7,0.6,60,25093,82.4682265244602
40,0.2,7,0.6,82,34208,92.06785084862277
40,0.2,7,0.6,74,30988,88.20518064983317
40,0.2,7,0.6,38,16253,47.507876718793234
40,0.2,7,0.6,72,30422,82.13115012216225
40,0.2,7,0.6,119,49577,89.21250818315184
40,0.2,7,0.6,103,43002,83.58673723198443
40,0.2,7,0.6,120,50185,87.90803764979837
40,0.2,7,0.6,91,38032,89.24578926204393
40,0.2,10,0.6,87,50887,89.7999342505546
40,0.2,10,0.6,51,30032,74.12552815059112
40,0.2,10,0.6,65,38296,80.14773581517986
40,0.2,10,0.6,119,70013,91.52992166829853
40,0.2,10,0.6,89,52041,93.93899234083703
40,0.2,10,0.6,67,39253,88.09574718477005
40,0.2,10,0.6,70,41116,82.59292030704577
40,0.2,10,0.6,83,48642,83.90625055551828
40,0.2,10,0.6,109,64388,77.41911186217389
40,0.2,10,0.6,111,65082,93.67587785374866
40,0.4,5,0.6,45,14257,81.95080916595842
40,0.4,5,0.6,60,18700,93.83466872084178
40,0.4,5,0.6,85,26508,93.9669774154639
40,0.4,5,0.6,102,32064,93.9458775576103
40,0.4,5,0.6,70,22100,83.27047273104176
40,0.4,5,0.6,50,15680,93.8012880053715
40,0.4,5,0.6,82,25605,93.9669774154639
40,0.4,5,0.6,84,26279,91.31433084483925
40,0.4,5,0.6,68,21182,93.69709764763637
40,0.4,5,0.6,86,26734,93.9669774154639
40,0.4,7,0.6,70,29758,93.9669774154639
40,0.4,7,0.6,70,29792,86.42566058759856
40,0.4,7,0.6,83,35773,77.7056649139625
40,0.4,7,0.6,71,30205,91.51252632136726
40,0.4,7,0.6,57,24296,90.05810002989341
40,0.4,7,0.6,80,33996,93.9458775576103
40,0.4,7,0.6,70,29539,93.82927307999837
40,0.4,7,0.6,77,32740,93.9669774154639
40,0.4,7,0.6,86,36425,93.9669774154639
40,0.4,7,0.6,98,41690,83.7707682784152
40,0.4,10,0.6,61,36213,93.9458775576103
40,0.4,10,0.6,110,65271,93.9669774154639
40,0.4,10,0.6,56,33716,44.15607744012828
40,0.4,10,0.6,65,38642,93.69709764763637
40,0.4,10,0.6,61,36231,93.82927307999837
40,0.4,10,0.6,80,47338,93.9669774154639
40,0.4,10,0.6,51,30402,82.24935772120706
40,0.4,10,0.6,79,46988,91.70963080917838
40,0.4,10,0.6,62,36595,93.9669774154639
40,0.4,10,0.6,72,42714,89.91961417779982
40,0.6,5,0.6,62,19853,93.93899234083703
40,0.6,5,0.6,66,21269,93.93899234083703
40,0.6,5,0.6,78,24891,93.9669774154639
40,0.6,5,0.6,70,22246,93.9669774154639
40,0.6,5,0.6,62,19744,93.9669774154639
40,0.6,5,0.6,83,26590,92.35888059572062
40,0.6,5,0.6,71,22956,91.98294950307778
