population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,0.8,83,2698,78.29571669365046
40,0.2,0.8,119,4186,81.65734349424415
40,0.2,0.8,148,5082,90.2639606550684
40,0.2,0.8,105,3387,88.98403512713448
40,0.2,0.8,54,2123,41.32325787370797
40,0.2,0.8,47,1652,81.82204879438555
40,0.2,0.8,69,2376,82.34112791437418
40,0.2,0.8,79,2590,89.55710214459047
40,0.2,0.8,76,2775,74.26596229149168
40,0.2,0.8,113,3632,84.77356147997939
40,0.4,0.8,82,3298,89.83538215179307
40,0.4,0.8,96,4102,93.9669774154639
40,0.4,0.8,65,2588,93.9669774154639
40,0.4,0.8,72,2950,93.9458775576103
40,0.4,0.8,77,3153,85.69463201107557
40,0.4,0.8,80,3077,93.9458775576103
40,0.4,0.8,119,4986,93.9669774154639
40,0.4,0.8,74,3017,93.9669774154639
40,0.4,0.8,67,3095,47.68096771387816
40,0.4,0.8,67,2771,81.51342748591583
40,0.6,0.8,77,3769,83.43827999891899
40,0.6,0.8,63,3074,93.83466872084178
40,0.6,0.8,58,2961,92.35888059572062
40,0.6,0.8,74,3588,93.9669774154639
40,0.6,0.8,67,3185,93.9669774154639
40,0.6,0.8,57,2799,89.7476266157143
40,0.6,0.8,91,4984,45.063992944503674
40,0.6,0.8,56,2676,93.93899234083703
40,0.6,0.8,54,2652,92.11990241542247
40,0.6,0.8,65,3134,93.9669774154639
40,0.8,0.8,81,4497,93.9669774154639
40,0.8,0.8,68,3954,91.95493333392353
40,0.8,0.8,70,3997,93.9458775576103
40,0.8,0.8,75,4203,93.9669774154639
40,0.8,0.8,68,3698,93.9669774154639
40,0.8,0.8,64,3526,93.9458775576103
40,0.8,0.8,82,4527,93.9669774154639
40,0.8,0.8,75,4241,93.9669774154639
40,0.8,0.8,64,3596,93.69709764763637
40,0.8,0.8,126,7402,91.84524516761225
60,0.2,0.8,105,5139,85.74710392142062
60,0.2,0.8,100,4767,93.9669774154639
60,0.2,0.8,76,3920,87.54819634449298
60,0.2,0.8,54,2964,80.84939886735363
60,0.2,0.8,77,4110,92.67887644641843
60,0.2,0.8,62,3015,87.44522859163017
60,0.2,0.8,128,6633,92.35888059572062
60,0.2,0.8,94,4801,90.09586520056436
60,0.2,0.8,57,3348,46.05054877000073
60,0.2,0.8,105,5670,76.92513095683339
60,0.4,0.8,89,5219,93.83466872084178
60,0.4,0.8,63,3883,90.59590730424219
60,0.4,0.8,61,3703,93.9669774154639
60,0.4,0.8,79,4814,92.11990241542247
60,0.4,0.8,56,3450,93.9669774154639
60,0.4,0.8,94,5936,93.91789248298345
60,0.4,0.8,69,4255,93.82927307999837
60,0.4,0.8,90,5292,93.9669774154639
60,0.4,0.8,50,3106,93.93899234083703
60,0.4,0.8,60,3653,93.93899234083703
60,0.6,0.8,76,5495,93.9669774154639
60,0.6,0.8,63,4654,93.82927307999837
60,0.6,0.8,63,4711,92.87123689458345
60,0.6,0.8,62,4510,93.9669774154639
60,0.6,0.8,50,3819,81.08303963475373
60,0.6,0.8,57,4716,47.95268094985446
60,0.6,0.8,56,3984,93.9669774154639
60,0.6,0.8,57,4273,93.9669774154639
60,0.6,0.8,49,3590,90.2639606550684
60,0.6,0.8,59,4266,93.9669774154639
60,0.8,0.8,71,6132,93.9669774154639
60,0.8,0.8,55,4634,93.9669774154639
60,0.8,0.8,51,4355,93.93899234083703
60,0.8,0.8,71,6105,93.9669774154639
60,0.8,0.8,59,4875,93.9669774154639
60,0.8,0.8,55,4643,93.9669774154639
60,0.8,0.8,63,6009,46.254200188286006
60,0.8,0.8,52,4544,91.8818322002417
60,0.8,0.8,60,5019,93.9669774154639
60,0.8,0.8,72,6207,93.9669774154639
80,0.2,0.8,68,4707,86.0131055118182
80,0.2,0.8,73,4944,93.9669774154639
80,0.2,0.8,75,5154,89.56775814825721
